raceId,year,round,circuitId,name,date,time,url
1,2009,1,1,2009  Australian Grand Prix,29-03-2009,06:00:00,http://en.wikipedia.org/wiki/2009_Australian_Grand_Prix
2,2009,2,2,2009  Malaysian Grand Prix,05-04-2009,09:00:00,http://en.wikipedia.org/wiki/2009_Malaysian_Grand_Prix
3,2009,3,17,2009  Chinese Grand Prix,19-04-2009,07:00:00,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix
4,2009,4,3,2009  Bahrain Grand Prix,26-04-2009,12:00:00,http://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix
5,2009,5,4,2009  Spanish Grand Prix,10-05-2009,12:00:00,http://en.wikipedia.org/wiki/2009_Spanish_Grand_Prix
6,2009,6,6,2009  Monaco Grand Prix,24-05-2009,12:00:00,http://en.wikipedia.org/wiki/2009_Monaco_Grand_Prix
7,2009,7,5,2009  Turkish Grand Prix,07-06-2009,12:00:00,http://en.wikipedia.org/wiki/2009_Turkish_Grand_Prix
8,2009,8,9,2009  British Grand Prix,21-06-2009,12:00:00,http://en.wikipedia.org/wiki/2009_British_Grand_Prix
9,2009,9,20,2009  German Grand Prix,12-07-2009,12:00:00,http://en.wikipedia.org/wiki/2009_German_Grand_Prix
10,2009,10,11,2009  Hungarian Grand Prix,26-07-2009,12:00:00,http://en.wikipedia.org/wiki/2009_Hungarian_Grand_Prix
11,2009,11,12,2009  European Grand Prix,23-08-2009,12:00:00,http://en.wikipedia.org/wiki/2009_European_Grand_Prix
12,2009,12,13,2009  Belgian Grand Prix,30-08-2009,12:00:00,http://en.wikipedia.org/wiki/2009_Belgian_Grand_Prix
13,2009,13,14,2009  Italian Grand Prix,13-09-2009,12:00:00,http://en.wikipedia.org/wiki/2009_Italian_Grand_Prix
14,2009,14,15,2009  Singapore Grand Prix,27-09-2009,12:00:00,http://en.wikipedia.org/wiki/2009_Singapore_Grand_Prix
15,2009,15,22,2009  Japanese Grand Prix,04-10-2009,05:00:00,http://en.wikipedia.org/wiki/2009_Japanese_Grand_Prix
16,2009,16,18,2009  Brazilian Grand Prix,18-10-2009,16:00:00,http://en.wikipedia.org/wiki/2009_Brazilian_Grand_Prix
17,2009,17,24,2009  Abu Dhabi Grand Prix,01-11-2009,11:00:00,http://en.wikipedia.org/wiki/2009_Abu_Dhabi_Grand_Prix
18,2008,1,1,2008  Australian Grand Prix,16-03-2008,04:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix
19,2008,2,2,2008  Malaysian Grand Prix,23-03-2008,07:00:00,http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix
20,2008,3,3,2008  Bahrain Grand Prix,06-04-2008,11:30:00,http://en.wikipedia.org/wiki/2008_Bahrain_Grand_Prix
21,2008,4,4,2008  Spanish Grand Prix,27-04-2008,12:00:00,http://en.wikipedia.org/wiki/2008_Spanish_Grand_Prix
22,2008,5,5,2008  Turkish Grand Prix,11-05-2008,12:00:00,http://en.wikipedia.org/wiki/2008_Turkish_Grand_Prix
23,2008,6,6,2008  Monaco Grand Prix,25-05-2008,12:00:00,http://en.wikipedia.org/wiki/2008_Monaco_Grand_Prix
24,2008,7,7,2008  Canadian Grand Prix,08-06-2008,17:00:00,http://en.wikipedia.org/wiki/2008_Canadian_Grand_Prix
25,2008,8,8,2008  French Grand Prix,22-06-2008,12:00:00,http://en.wikipedia.org/wiki/2008_French_Grand_Prix
26,2008,9,9,2008  British Grand Prix,06-07-2008,12:00:00,http://en.wikipedia.org/wiki/2008_British_Grand_Prix
27,2008,10,10,2008  German Grand Prix,20-07-2008,12:00:00,http://en.wikipedia.org/wiki/2008_German_Grand_Prix
28,2008,11,11,2008  Hungarian Grand Prix,03-08-2008,12:00:00,http://en.wikipedia.org/wiki/2008_Hungarian_Grand_Prix
